protein,diff,p,q
ATP6V1D,-0.07363262987012986,0.0724128088345402,0.16170068099405546
ATP6V1F,0.9997209956709951,1.7709807518679591e-06,1.6176802305343888e-05
ATP6V1G1,0.8133708333333329,3.13111407905686e-08,3.5755766326727947e-07
ATP6V1G2,0.06786639610389578,0.5158213097199362,0.6388752916573617
ATRAID,-0.09921666666666668,0.024659545062765322,0.07340106946890329
ATRN,-0.09449128787878788,0.059911063969961785,0.14122583869693411
ATXN10,0.41065286796536804,0.005265623464192284,0.02276836891395569
ATXN2,0.35717007575757576,0.08855477636169766,0.18595230697215678
ATXN2L,-0.050654491341991265,0.38860323823892773,0.5285655027326133
ATXN3,0.5976218073593071,0.0003782822990853381,0.002403737304840094
AXIN1,0.6941512445887448,2.2848539867124473e-10,4.122610001950916e-09
AXL,-0.19989837662337664,0.007179771574965688,0.029351709529545043
AZI2,-0.13065703463203465,0.18940492958756383,0.32187826115374946
AZU1,0.10698858225108199,0.8617637234313373,0.9073974652701006
B2M,-0.16695790043290065,0.04546084044559871,0.11514907852901649
B3GAT3,-0.19192402597402594,0.0005207244202749367,0.003211310479856011
B3GNT7,-0.028974621212121354,0.8651020563002767,0.9105845554791894
B4GALT1,-0.03999940476190467,0.674150223875841,0.7688416326137664
B4GAT1,-0.04503089826839828,0.5721696928603057,0.6882518568850509
BABAM1,0.018733603896103942,0.6556396536746179,0.7518378610007486
BACH1,0.0030164502164502505,0.8617637234313373,0.9073974652701006
BAG3,0.041070725108225056,0.6192553319982443,0.7254843027779031
BAG4,-0.08083582251082236,0.23604523544834932,0.37416498005180315
BAG6,0.00480573593073591,0.674150223875841,0.7688416326137664
